model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
ablation_no_domain,1,0.1005798982779185,0.9968021266692892,0.962287900357828,8.412562131881714
ablation_no_domain,2,0.06039925951162974,0.9970534087139127,0.9635908515729039,8.231605529785156
ablation_no_domain,3,0.0526570299098889,0.997153851285584,0.9643858543265156,8.163442134857178
ablation_no_domain,4,0.0480354349364837,0.9972465409491755,0.9651384361708517,8.48650312423706
ablation_no_domain,5,0.04538902459939321,0.9973396071858249,0.9658901921912,8.64529800415039
ablation_no_domain,6,0.042487432336807254,0.9973779197237869,0.9664551223934723,8.399985074996948
ablation_no_domain,7,0.0402261578977108,0.9968181346939684,0.9665366836812934,8.399181842803955
ablation_no_domain,8,0.03823668244282405,0.9974624428897098,0.9670933656772276,8.499457359313965
ablation_no_domain,9,0.036825810837745665,0.9975067913571409,0.9675447677363934,8.575220346450806
ablation_no_domain,10,0.035490313663085304,0.9975449966523212,0.9678207067234978,8.365944147109985
ablation_no_domain,11,0.034363316270709036,0.9975519176124086,0.9670255720053835,8.373494148254395
ablation_no_domain,12,0.0332811776359876,0.9976116155260581,0.9665401175467918,8.732373237609863
ablation_no_domain,13,0.03249777454535167,0.997634810010843,0.9679299009422034,8.052892446517944
ablation_no_domain,14,0.03162142679691315,0.9977037557107957,0.9696256051876355,8.667210102081299
ablation_no_domain,15,0.031049322537581126,0.997776371390108,0.9702189248761194,8.557632446289062
ablation_no_domain,16,0.03036478095849355,0.9978166146573346,0.9705719106001571,8.166882038116455
ablation_no_domain,17,0.029819644663731257,0.9978490501110739,0.9722047997887301,9.042232513427734
ablation_no_domain,18,0.029371730934580165,0.997903410687134,0.9721823697554458,9.657397747039795
ablation_no_domain,19,0.02868805971344312,0.9979606951951103,0.97325332614662,10.836196899414062
ablation_no_domain,20,0.028013898360729216,0.9980662547762191,0.9722629487717539,9.661084651947021
