model,ΔAUC_PR,ΔF1,ΔMCC,ΔRecall@1%FPR,ΔFAR
trident_full,0.0,0.0,0.0,0.0,0.0
ablation_no_text,0.0007059876423185507,0.0035354791119615037,0.014297900685682041,0.015483561000644297,0.01685939017893516
ablation_no_keyword,0.0005124040928852214,0.003525246528759518,0.01240940064387508,0.012589947696574622,0.004042493184168466
ablation_no_domain,0.00039219565073123075,0.0015481692742046471,0.009241300276658482,0.007829134864218545,0.032810002820344075
ablation_no_drift,0.0003052044871456605,0.001153672339177847,0.004727618461028427,0.0069009947478189115,0.006048071198019492
ablation_no_focal,9.493003030613956e-05,0.0062073395146711174,0.012930964270042145,-0.0006442384337362883,-0.03848202814076651
ablation_no_reconstruction,0.00013610329003754806,0.0010249658943719542,0.0033611001028401866,0.006082047586289718,-0.0007207545987277103
edge_tiny_deployment,0.000852055569049659,0.006270252488374539,0.02486418713903371,0.01464277524814106,0.025915828397731183
dummy_majority,0.2567906591628786,0.9743468247583995,0.9038104227210699,0.9425317478516286,-0.04688038607376767
logistic_regression,0.002511980572020178,0.026734569380981843,0.07339846208826606,0.04551162359004601,-0.026667920152925326
random_forest,0.00046189355605052995,0.01919969048483583,0.04797212897075809,-0.005514244220962805,-0.04493748237284949
hist_gradient_boosting,-0.0010113212147514483,-0.0034567052826059985,-0.017640479254479202,-0.023531081774603835,-0.042023126821472225
